Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,2150.0
OTHER,NOT AVAILABLE,RED,G&L,PROVIDED,SOLID WOOD,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,760.0
OTHER,NOT AVAILABLE,BLACK,KRAMER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,7 STRING,RIGHT-HANDED,OTHER,Used,760.57
OTHER,NOT AVAILABLE,BLACK,EPIPHONE,NOT AVAILABLE,OTHER,SEMI-HOLLOW,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,429.0
OTHER,NOT AVAILABLE,OTHER,FIREFLY,NOT AVAILABLE,MAHOGANY,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,159.99
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,94.0
OTHER,NOT AVAILABLE,CLEAR,GRETSCH,PROVIDED,SOLID WOOD,SOLID,1979.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,900.0
OTHER,NOT AVAILABLE,WHITE,OTHER,PROVIDED,OTHER,SOLID,2008.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,649.0
OTHER,NOT AVAILABLE,SUNBURST,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,925.0
OTHER,NOT AVAILABLE,RED,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,38.5
TELECASTER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,OTHER,2012.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,1449.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,NOT AVAILABLE,225.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,KOA,OTHER,2017.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,545.0
TELECASTER,NOT AVAILABLE,MULTICOLOR,FENDER,PROVIDED,OTHER,OTHER,1995.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,245.0
SE CUSTOM 24,NOT AVAILABLE,CHERRY SUNBURST,PRS,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,485.0
OTHER,NOT AVAILABLE,SUNBURST,GIBSON,PROVIDED,OTHER,SEMI-HOLLOW,2016.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,1299.99
OTHER,PROVIDED,BLACK,OTHER,PROVIDED,OTHER,OTHER,2018.0,7 FRET,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Manufacturer refurbished,139.99
OTHER,NOT AVAILABLE,BLACK,FENDER,NOT AVAILABLE,OTHER,OTHER,2019.0,FULL SIZE,UNKNOWN,6 STRING,RIGHT-HANDED,OTHER,Used,49.99
OTHER,NOT AVAILABLE,WHITE,OTHER,PROVIDED,OTHER,SEMI-HOLLOW,2015.0,OTHER,MARTINIQUE,6 STRING,RIGHT-HANDED,OTHER,Used,699.99
